"","X","token","tag","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"1663",1663,"Aber","CONJ.Coord","aber","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"1664",1664,"bald","ADV","bald","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1665",1665,"Sprang","VFIN.Full.1.Sg.Past.Ind","springen","VFIN","Full",NA,NA,1,"Sg",NA,"Past","Ind"
"1666",1666,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"1667",1667,"von","APPR","von","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"1668",1668,"dem","ART.Def.Dat.Sg.Neut","die","ART","Def",NA,"Dat",NA,"Sg","Neut",NA,NA
"1669",1669,"zu","PART.Deg","zu","PART","Deg",NA,NA,NA,NA,NA,NA,NA
"1670",1670,"trägen","ADJA.Pos.Dat.Sg.Neut","träge","ADJA","Pos",NA,"Dat",NA,"Sg","Neut",NA,NA
"1671",1671,"Lager","N.Reg.Dat.Sg.Neut","Lager","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"1672",1672,"auf","PART.Verb","auf","PART","Verb",NA,NA,NA,NA,NA,NA,NA
"1674",1674,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1675",1675,"Warf","VFIN.Full.3.Sg.Past.Ind","werfen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1676",1676,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"1677",1677,"in","APPR","in","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"1678",1678,"meinen","PRO.Poss.Attr.Acc.Sg.Masc","meine","PRO","Poss","Attr","Acc",NA,"Sg","Masc",NA,NA
"1679",1679,"neuen","ADJA.Pos.Acc.Sg.Masc","neu","ADJA","Pos",NA,"Acc",NA,"Sg","Masc",NA,NA
"1680",1680,"Panzer","N.Reg.Acc.Sg.Masc","Panzer","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"1682",1682,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1683",1683,"strich","VFIN.Full.3.Sg.Past.Ind","streichen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1684",1684,"Die","ART.Def.Acc.Pl.Neut","die","ART","Def",NA,"Acc",NA,"Pl","Neut",NA,NA
"1685",1685,"ungelockten","ADJA.Pos.Acc.Pl.Neut","ungelockt","ADJA","Pos",NA,"Acc",NA,"Pl","Neut",NA,NA
"1686",1686,"Haare","N.Reg.Acc.Pl.Neut","Haar","N","Reg",NA,"Acc",NA,"Pl","Neut",NA,NA
"1687",1687,"untern","APPRART.Acc.Sg.Masc","unter","APPRART",NA,NA,"Acc",NA,"Sg","Masc",NA,NA
"1688",1688,"Helm","N.Reg.Acc.Sg.Masc","Helm","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"1690",1690,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1691",1691,"Saß","VFIN.Full.3.Sg.Past.Ind","sitzen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1692",1692,"früh","ADJD.Pos","früh","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1693",1693,"zu","APPR","zu","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"1694",1694,"Pferde","N.Reg.Dat.Sg.Neut","Pferd","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"1696",1696,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1697",1697,"dachte","VFIN.Full.3.Sg.Past.Ind","denken","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1698",1698,"Thaten","N.Reg.Acc.Pl.Masc","Thaten","N","Reg",NA,"Acc",NA,"Pl","Masc",NA,NA
"1700",1700,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1701",1701,"war","VFIN.Aux.3.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Ind"
"1702",1702,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"1704",1704,"112","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"1706",1706,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"1707",1707,"Der","ART.Def.Nom.Sg.Masc","die","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"1708",1708,"erste","PRO.Indef.Subst.Nom.Sg.Masc","erste","PRO","Indef","Subst","Nom",NA,"Sg","Masc",NA,NA
"1709",1709,"da","ADV","da","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1711",1711,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1712",1712,"wohin","PROADV.Inter","wohin","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"1713",1713,"der","ART.Def.Nom.Sg.Masc","die","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"1714",1714,"Silberklang","N.Reg.Nom.Sg.Masc","Silberklang","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"1715",1715,"Der","ART.Def.Gen.Pl.Neut","die","ART","Gen",NA,"Gen",NA,"Pl","Neut",NA,NA
"1716",1716,"kriegrischen","ADJA.Pos.Gen.Pl.Neut","kriegrisch","ADJA","Gen",NA,"Gen",NA,"Pl","Neut",NA,NA
"1717",1717,"Trommete","N.Reg.Gen.Pl.Neut","Trommete","N","Gen",NA,"Gen",NA,"Pl","Neut",NA,NA
"1718",1718,"rief","VFIN.Full.3.Sg.Past.Ind","rufen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1720",1720,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1721",1721,"gewiß","ADV","gewiß","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1723",1723,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1724",1724,"Zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"1725",1725,"siegen","VINF.Full","siegen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"1727",1727,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1728",1728,"und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"1730",1730,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1731",1731,"wo","PROADV.Inter","wo","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"1732",1732,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"1734",1734,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1735",1735,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"1736",1736,"sterben","VINF.Full","sterben","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"1738",1738,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1741",1741,"Ach","ITJ","ach","ITJ",NA,NA,NA,NA,NA,NA,NA,NA
"1743",1743,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1746",1746,"Und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"1747",1747,"nun","ADV","nun","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1749",1749,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1750",1750,"o","FM","o","FM",NA,NA,NA,NA,NA,NA,NA,NA
"1751",1751,"Freund","N.Reg.Nom.Sg.Masc","Freund","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"1753",1753,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1756",1756,"Nun","ADV","nun","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1757",1757,"ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"1758",1758,"von","APPR","von","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"1759",1759,"beiden","PRO.Indef.Attr.Dat.Pl.Neut","beide","PRO","Indef","Attr","Dat",NA,"Pl","Neut",NA,NA
"1760",1760,"keins","PRO.Indef.Subst.Acc.Sg.Neut","keine","PRO","Indef","Subst","Acc",NA,"Sg","Neut",NA,NA
"1762",1762,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1765",1765,"Sieh","VIMP.Full.2.Sg","sehen","VIMP","Full",NA,NA,2,"Sg",NA,NA,NA
"1766",1766,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"1768",1768,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1771",1771,"Nur","ADV","nur","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1772",1772,"leicht","ADJD.Pos","leicht","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1773",1773,"verwundet","VPP.Full.Psp","verwunden","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"1774",1774,"bin","VFIN.Aux.1.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,1,"Sg",NA,"Pres","Ind"
"1775",1775,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"1776",1776,"hier","ADV","hier","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1778",1778,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1779",1779,"Ein","ART.Indef.Nom.Sg.Masc","eine","ART","Indef",NA,"Nom",NA,"Sg","Masc",NA,NA
"1780",1780,"armer","ADJA.Pos.Nom.Sg.Masc","arm","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"1781",1781,"kläglicher","ADJA.Pos.Nom.Sg.Masc","kläglich","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"1782",1782,"Gefangener","N.Reg.Nom.Sg.Masc","Gefangene","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"1784",1784,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1787",1787,"Wie","PROADV.Inter","wie","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"1788",1788,"hoch","ADJD.Pos","hoch","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1789",1789,"stand","VFIN.Full.1.Sg.Past.Ind","stehen","VFIN","Full",NA,NA,1,"Sg",NA,"Past","Ind"
"1790",1790,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"1792",1792,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1793",1793,"wenn","CONJ.SubFin","wenn","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"1794",1794,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"1795",1795,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"1796",1796,"einen","ART.Indef.Acc.Sg.Masc","eine","ART","Indef",NA,"Acc",NA,"Sg","Masc",NA,NA
"1797",1797,"Held","N.Reg.Acc.Sg.Masc","Held","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"1798",1798,"Betrachtete","VFIN.Full.3.Sg.Past.Ind","betrachten","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1800",1800,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1801",1801,"lebendig","ADJD.Pos","lebendig","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1802",1802,"oder","CONJ.Coord","oder","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"1803",1803,"tod","ADJD.Pos","tod","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1805",1805,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1808",1808,"Wie","PROADV.Inter","wie","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"1809",1809,"tief","ADJD.Pos","tief","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1810",1810,"bin","VFIN.Aux.1.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,1,"Sg",NA,"Pres","Ind"
"1811",1811,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"1812",1812,"gefallen","VPP.Full.Psp","fallen|gefallen","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"1814",1814,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1815",1815,"–","N.Name.*.*.*","–","N","Name",NA,NA,NA,NA,NA,NA,NA
"1816",1816,"–","N.Name.*.*.*","–","N","Name",NA,NA,NA,NA,NA,NA,NA
"1817",1817,"Strato","N.Name.Nom.Sg.*","Strato","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"1819",1819,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1820",1820,"hat","VFIN.Aux.3.Sg.Pres.Ind","haben","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"1821",1821,"Dein","PRO.Poss.Attr.Acc.Sg.Neut","deine","PRO","Poss","Attr","Acc",NA,"Sg","Neut",NA,NA
"1822",1822,"edles","ADJA.Pos.Acc.Sg.Neut","edel","ADJA","Pos",NA,"Acc",NA,"Sg","Neut",NA,NA
"1823",1823,"Herz","N.Reg.Acc.Sg.Neut","Herz","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"1824",1824,"Barmherzigkeit","N.Reg.Nom.Sg.Fem","Barmherzigkeit","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"1825",1825,"mit","APPR","mit","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"1826",1826,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
"1827",1827,"Unedlem","N.Reg.Acc.Sg.Neut","Unedlem","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"1828",1828,"Krieger","N.Reg.Nom.Sg.Masc","Krieger","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"1830",1830,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1831",1831,"welcher","PRO.Rel.Subst.Nom.Sg.Masc","welche","PRO","Rel","Subst","Nom",NA,"Sg","Masc",NA,NA
"1832",1832,"allzuleicht","ADJD.Pos","allzuleicht","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1834",1834,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1835",1835,"Ein","ART.Indef.Acc.Sg.Neut","eine","ART","Indef",NA,"Acc",NA,"Sg","Neut",NA,NA
"1836",1836,"schändlich","ADJD.Pos","schändlich","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1837",1837,"Leben","N.Reg.Acc.Sg.Neut","Leben","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"1838",1838,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"1839",1839,"verlängern","VINF.Full","verlängern","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"1841",1841,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1842",1842,"sich","PRO.Refl.Subst.3.Acc.Sg.*","sie","PRO","Refl","Subst","Acc",3,"Sg",NA,NA,NA
"1843",1843,"Gefangen","ADJD.Pos","gefangen","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1844",1844,"gab","VFIN.Full.3.Sg.Past.Ind","geben","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1846",1846,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1847",1847,"–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"1848",1848,"–","N.Reg.*.*.Neut","–","N","Reg",NA,NA,NA,NA,"Neut",NA,NA
"1849",1849,"Nein","N.Reg.Nom.Sg.Neut","Nein","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"1850",1850,"–","N.Name.*.*.*","–","N","Name",NA,NA,NA,NA,NA,NA,NA
"1851",1851,"–","N.Name.Nom.Sg.*","–","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"1852",1852,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"1853",1853,"gefangen","ADJD.Pos","gefangen","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1854",1854,"gab","VFIN.Full.3.Sg.Past.Ind","geben","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1856",1856,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1857",1857,"Genommen","ADJD.Pos","genommen","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1858",1858,"ward","VFIN.Full.3.Sg.Past.Ind","werden","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1860",1860,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1861",1861,"–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"1862",1862,"–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"1863",1863,"Zehn","CARD","zehn","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"1864",1864,"Hufen","N.Reg.Dat.Pl.Masc","Huf","N","Reg",NA,"Dat",NA,"Pl","Masc",NA,NA
"1865",1865,"allzuweit","ADV","allzuweit","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1867",1867,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1868",1868,"Zehn","CARD","zehn","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"1869",1869,"Hufen","N.Reg.Dat.Pl.Masc","Huf","N","Reg",NA,"Dat",NA,"Pl","Masc",NA,NA
"1870",1870,"nur","ADV","nur","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1872",1872,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1873",1873,"war","VFIN.Aux.3.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Ind"
"1874",1874,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"1875",1875,"voraus","ADV","voraus","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1876",1876,"geeilt","VPP.Full.Psp","eilen","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"1878",1878,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1881",1881,"Da","ADV","da","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1882",1882,"sah","VFIN.Full.3.Sg.Past.Ind","sehen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"1883",1883,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"1884",1884,"sich","PRO.Refl.Subst.3.Acc.Sg.*","sie","PRO","Refl","Subst","Acc",3,"Sg",NA,NA,NA
"1885",1885,"umringt","ADJD.Pos","umringt","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1887",1887,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1888",1888,"der","ART.Def.Nom.Sg.Masc","die","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"1889",1889,"schlechte","ADJA.Pos.Nom.Sg.Masc","schlecht","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"1890",1890,"Held","N.Reg.Nom.Sg.Masc","Held","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"1892",1892,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1895",1895,"Ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"1896",1896,"ein","ART.Indef.Nom.Sg.Masc","eine","ART","Indef",NA,"Nom",NA,"Sg","Masc",NA,NA
"1897",1897,"Soldat","N.Reg.Nom.Sg.Masc","Soldat","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"1899",1899,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1900",1900,"der","PRO.Rel.Subst.Nom.Sg.Masc","die","PRO","Rel","Subst","Nom",NA,"Sg","Masc",NA,NA
"1901",1901,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"1902",1902,"den","ART.Def.Acc.Sg.Masc","die","ART","Def",NA,"Acc",NA,"Sg","Masc",NA,NA
"1903",1903,"Feind","N.Reg.Acc.Sg.Masc","Feind","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"1904",1904,"da","ADV","da","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1905",1905,"faßt","VFIN.Full.3.Sg.Pres.Ind","fassen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"1907",1907,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1908",1908,"Wo","PROADV.Inter","wo","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"1909",1909,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"1910",1910,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"1911",1911,"fassen","VINF.Full","fassen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"1912",1912,"ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"1914",1914,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1915",1915,"der","PRO.Rel.Subst.Nom.Sg.Masc","die","PRO","Rel","Subst","Nom",NA,"Sg","Masc",NA,NA
"1917",1917,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1918",1918,"allzu","PART.Deg","allzu","PART","Deg",NA,NA,NA,NA,NA,NA,NA
"1919",1919,"kühn","ADJD.Pos","kühn","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1921",1921,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1922",1922,"Sich","PRO.Refl.Subst.3.Acc.Sg.*","sie","PRO","Refl","Subst","Acc",3,"Sg",NA,NA,NA
"1923",1923,"ausser","APPR","außer","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"1924",1924,"Stand","N.Reg.Dat.Sg.Masc","Stand","N","Reg",NA,"Dat",NA,"Sg","Masc",NA,NA
"1925",1925,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"1926",1926,"siegen","VINF.Full","siegen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"1927",1927,"setzt","VFIN.Full.3.Sg.Pres.Ind","setzen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"1929",1929,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1930",1930,"ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"1931",1931,"der","PRO.Dem.Subst.Nom.Sg.Masc","die","PRO","Dem","Subst","Nom",NA,"Sg","Masc",NA,NA
"1932",1932,"Ein","ART.Indef.Nom.Sg.Masc","eine","ART","Indef",NA,"Nom",NA,"Sg","Masc",NA,NA
"1933",1933,"Held","N.Reg.Nom.Sg.Masc","Held","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"1935",1935,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1938",1938,"Ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"1939",1939,"der","PRO.Dem.Subst.Nom.Sg.Masc","die","PRO","Dem","Subst","Nom",NA,"Sg","Masc",NA,NA
"1940",1940,"unschuldig","ADJD.Pos","unschuldig","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"1942",1942,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1943",1943,"wenn","CONJ.SubFin","wenn","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"1944",1944,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"1945",1945,"liegt","VFIN.Full.3.Sg.Pres.Ind","liegen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"1947",1947,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1950",1950,"O","N.Name.Nom.Sg.*","O","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"1951",1951,"Vaterland","N.Reg.Nom.Sg.Neut","Vaterland","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"1953",1953,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"1956",1956,"Ihr","PRO.Poss.Attr.Nom.Pl.Masc","ihre","PRO","Poss","Attr","Nom",NA,"Pl","Masc",NA,NA
"1957",1957,"Götter","N.Reg.Nom.Pl.Masc","Gott","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"1959",1959,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"1960",1960,"warum","PROADV.Inter","warum","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"1961",1961,"war","VFIN.Aux.3.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Ind"
"1962",1962,"Ein","ART.Indef.Nom.Sg.Neut","eine","ART","Indef",NA,"Nom",NA,"Sg","Neut",NA,NA
"1963",1963,"so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"1964",1964,"grausames","ADJA.Pos.Nom.Sg.Neut","grausam","ADJA","Pos",NA,"Nom",NA,"Sg","Neut",NA,NA
"1965",1965,"hartes","ADJA.Pos.Nom.Sg.Neut","hart","ADJA","Pos",NA,"Nom",NA,"Sg","Neut",NA,NA
"1966",1966,"Schicksal","N.Reg.Nom.Sg.Neut","Schicksal","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"1967",1967,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
