"144,""So"",""sagt’"",""sagt’"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"145,""Umarmte"",""mich."",""mich"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"146,""Floß"",""in"",""in"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"147,""War"",""es"",""es"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"148,""Im"",""Dienst"",""Dienst"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"149,""Was"",""ist"",""ist"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"150,""Die"",""ganze"",""ganze"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"151,""Die"",""Schwerdter"",""Schwerdter"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"152,""Das,"",""welchem"",""welchem"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"153,""An"",""meine"",""meine"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"154,""Und"",""träumte"",""träumte"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"155,""Sprang"",""ich"",""ich"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"156,""Warf"",""mich"",""mich"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"157,""Die"",""ungelockten"",""ungelockten"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"158,""Saß"",""früh"",""früh"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"159,""[112]"",""Der"",""Der"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"160,""Der"",""kriegrischen"",""kriegrischen"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"161,""Zu"",""siegen,"",""siegen,"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"162,""Und"",""nun,"",""nun,"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"163,""Sieh"",""mich!"",""mich!"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"164,""Ein"",""armer"",""armer"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"165,""Wie"",""hoch"",""hoch"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"166,""Betrachtete,"",""lebendig"",""lebendig"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"167,""Wie"",""tief"",""tief"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"168,""Dein"",""edles"",""edles"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"169,""Unedlem"",""Krieger,"",""Krieger,"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"170,""Ein"",""schändlich"",""schändlich"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"171,""Gefangen"",""gab!"",""gab!"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"172,""Genommen"",""ward."",""ward"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"173,""Zehn"",""Hufen"",""Hufen"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
