"","token","cat","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"25",";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"26","und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"27","man","PRO.Indef.Subst.Nom.Sg.*","man","PRO","Indef","Subst","Nom",NA,"Sg",NA,NA,NA
"28","beneidet","VFIN.Full.3.Sg.Pres.Ind","beneiden","VFIN","Full",NA,NA,"3","Sg",NA,"Pres","Ind"
"29","uns","PRO.Pers.Subst.1.Acc.Pl.*","sie","PRO","Pers","Subst","Acc","1","Pl",NA,NA,NA
"30","noch","ADV","noch","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"31","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"33","–","N.Reg.Nom.Sg.Masc","–","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"34","Das","ART.Def.Nom.Sg.Neut","die","ART","Def",NA,"Nom",NA,"Sg","Neut",NA,NA
"35","glaub","VIMP.Full.2.Sg","glauben","VIMP","Full",NA,NA,"2","Sg",NA,NA,NA
"36","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","'","SYM.Quot.Right","'","SYM",NA,"Right",NA,NA,NA,NA,NA,NA
"38","ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"39","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"41","wenn","CONJ.SubFin","wenn","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"42","wir","PRO.Pers.Subst.1.Nom.Pl.*","sie","PRO","Pers","Subst","Nom","1","Pl",NA,NA,NA
"43","allen","PRO.Indef.Subst.Dat.Pl.*","alle","PRO","Indef","Subst","Dat",NA,"Pl",NA,NA,NA
"44","helfen","VINF.Full","helfen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"45","könnten","VFIN.Mod.1.Pl.Past.Subj","können","VFIN","Mod",NA,NA,"1","Pl",NA,"Past","Subj"
"46","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",":","SYM.Pun.Colon",":","SYM","Pun",NA,NA,NA,NA,NA,NA,NA
"48","dann","ADV","dann","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"49","wären","VFIN.Aux.1.Pl.Past.Subj","sein","VFIN","Aux",NA,NA,"1","Pl",NA,"Past","Subj"
"50","wir","PRO.Pers.Subst.1.Nom.Pl.*","sie","PRO","Pers","Subst","Nom","1","Pl",NA,NA,NA
"51","zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"52","beneiden","VINF.Full","beneiden","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"53","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"55","–","N.Name.*.*.*","–","N","Name",NA,NA,NA,NA,NA,NA,NA
"56","Emilia","N.Name.*.*.*","Emilia","N","Name",NA,NA,NA,NA,NA,NA,NA
"57","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"59","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Eine","ART.Indef.Nom.Sg.Fem","eine","ART","Indef",NA,"Nom",NA,"Sg","Fem",NA,NA
"62","Emilia","N.Name.Nom.Sg.Fem","Emilia","N","Name",NA,"Nom",NA,"Sg","Fem",NA,NA
"63","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"65","–","N.Reg.Nom.Sg.Fem","–","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"66","Aber","CONJ.Coord","aber","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"67","eine","ART.Indef.Nom.Sg.Fem","eine","ART","Indef",NA,"Nom",NA,"Sg","Fem",NA,NA
"68","Emilia","N.Name.*.*.*","Emilia","N","Name",NA,NA,NA,NA,NA,NA,NA
"69","Bruneschi","N.Name.*.*.*","Bruneschi","N","Name",NA,NA,NA,NA,NA,NA,NA
"70","–","N.Name.Nom.Sg.*","–","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"71","nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"72","Galotti","N.Name.Nom.Sg.*","Galotti","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"73","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"75","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"78","Emilia","N.Name.Nom.Sg.Fem","Emilia","N","Name",NA,"Nom",NA,"Sg","Fem",NA,NA
"79","Galotti","N.Name.Nom.Sg.Fem","Galotti","N","Name",NA,"Nom",NA,"Sg","Fem",NA,NA
"80","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"82","–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"83","Was","PRO.Inter.Subst.Acc.Sg.Neut","was","PRO","Inter","Subst","Acc",NA,"Sg","Neut",NA,NA
"84","will","VFIN.Mod.3.Sg.Pres.Ind","wollen","VFIN","Mod",NA,NA,"3","Sg",NA,"Pres","Ind"
"85","sie","PRO.Pers.Subst.3.Nom.Sg.Fem","sie","PRO","Pers","Subst","Nom","3","Sg","Fem",NA,NA
"86","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"88","diese","PRO.Dem.Attr.Acc.Sg.Fem","diese","PRO","Dem","Attr","Acc",NA,"Sg","Fem",NA,NA
"89","Emilia","N.Name.Nom.Sg.Fem","Emilia","N","Name",NA,"Nom",NA,"Sg","Fem",NA,NA
"90","Bruneschi","N.Name.Nom.Sg.Fem","Bruneschi","N","Name",NA,"Nom",NA,"Sg","Fem",NA,NA
"91","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"93","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Viel","ADV","viel","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"96","gefodert","ADJD.Pos","gefodert","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"97","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"99","sehr","ADV","sehr","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"100","viel","PRO.Indef.Subst.*.*.*","viel","PRO","Indef","Subst",NA,NA,NA,NA,NA,NA
"101","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"103","–","N.Reg.Nom.Sg.Masc","–","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"104","Doch","ADV","doch","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"105","sie","PRO.Pers.Subst.3.Acc.Pl.*","sie","PRO","Pers","Subst","Acc","3","Pl",NA,NA,NA
"106","heißt","VFIN.Full.3.Sg.Pres.Ind","heißen","VFIN","Full",NA,NA,"3","Sg",NA,"Pres","Ind"
"107","Emilia","N.Name.*.*.*","Emilia","N","Name",NA,NA,NA,NA,NA,NA,NA
"108","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"110","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Gewährt","ADJD.Pos","gewährt","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"113","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"115","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie","PRO","Pers","Subst","Nom","3","Sg","Neut",NA,NA
"118","ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,"3","Sg",NA,"Pres","Ind"
"119","wohl","ADV","wohl","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"120","noch","ADV","noch","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"121","keiner","PRO.Indef.Subst.Nom.Sg.Masc","keine","PRO","Indef","Subst","Nom",NA,"Sg","Masc",NA,NA
"122","von","APPR","von","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"123","den","ART.Def.Dat.Pl.Masc","die","ART","Def",NA,"Dat",NA,"Pl","Masc",NA,NA
"124","Räten","N.Reg.Dat.Pl.Masc","Rat","N","Reg",NA,"Dat",NA,"Pl","Masc",NA,NA
"125","in","APPR","in","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"126","dem","ART.Def.Dat.Sg.Neut","die","ART","Def",NA,"Dat",NA,"Sg","Neut",NA,NA
"127","Vorzimmer","N.Reg.Dat.Sg.Neut","Vorzimmer","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"128","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"130","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Nein","PART.Ans","nein","PART","Ans",NA,NA,NA,NA,NA,NA,NA
"133","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"135","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"138","habe","VFIN.Aux.1.Sg.Pres.Ind","haben","VFIN","Aux",NA,NA,"1","Sg",NA,"Pres","Ind"
"139","zu","PART.Deg","zu","PART","Deg",NA,NA,NA,NA,NA,NA,NA
"140","früh","ADJD.Pos","früh","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"141","Tag","N.Reg.Acc.Sg.Masc","Tag","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"142","gemacht","VPP.Full.Psp","machen","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"143","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"145","–","N.Reg.Nom.Sg.Masc","–","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"146","Der","ART.Def.Nom.Sg.Masc","die","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"147","Morgen","N.Reg.Nom.Sg.Masc","Morgen","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"148","ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,"3","Sg",NA,"Pres","Ind"
"149","so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"150","schön","ADJD.Pos","schön","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"151","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"153","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"156","will","VFIN.Mod.1.Sg.Pres.Ind","wollen","VFIN","Mod",NA,NA,"1","Sg",NA,"Pres","Ind"
"157","ausfahren","VINF.Full","ausfahren","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"158","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"160","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Marchese","N.Name.Nom.*.*","Marchese","N","Name",NA,"Nom",NA,NA,NA,NA,NA
"163","Marinelli","N.Name.Nom.*.*","Marinelli","N","Name",NA,"Nom",NA,NA,NA,NA,NA
"164","soll","VFIN.Mod.3.Sg.Pres.Ind","sollen","VFIN","Mod",NA,NA,"3","Sg",NA,"Pres","Ind"
"165","mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc","1","Sg",NA,NA,NA
"166","begleiten","VINF.Full","begleiten","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"167","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"169","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Laßt","VIMP.Full.2.Pl","lassen","VIMP","Full",NA,NA,"2","Pl",NA,NA,NA
"172","ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","sie","PRO","Pers","Subst","Acc","3","Sg","Masc",NA,NA
"173","rufen","VFIN.Full.3.Pl.Pres.Ind","rufen","VFIN","Full",NA,NA,"3","Pl",NA,"Pres","Ind"
"174","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"176","–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"177","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"178","kann","VFIN.Mod.1.Sg.Pres.Ind","können","VFIN","Mod",NA,NA,"1","Sg",NA,"Pres","Ind"
"179","doch","ADV","doch","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"180","nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"181","mehr","ADV","mehr","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"182","arbeiten","VINF.Full","arbeiten","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"183","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"185","–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"186","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"187","war","VFIN.Aux.1.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,"1","Sg",NA,"Past","Ind"
"188","so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"189","ruhig","ADJD.Pos","ruhig","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"190","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"192","bild","ADJD.Pos","bild","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"193","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","'","SYM.Quot.Right","'","SYM",NA,"Right",NA,NA,NA,NA,NA,NA
"195","ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"196","mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat","1","Sg",NA,NA,NA
"197","ein","PART.Verb","ein","PART","Verb",NA,NA,NA,NA,NA,NA,NA
"198","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"200","so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"201","ruhig","ADJD.Pos","ruhig","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"202","–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"203","Auf","APPR","auf","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"204","einmal","ADV","einmal","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"205","muß","VFIN.Mod.3.Sg.Pres.Ind","müssen","VFIN","Mod",NA,NA,"3","Sg",NA,"Pres","Ind"
"206","eine","ART.Indef.Nom.Sg.Fem","eine","ART","Indef",NA,"Nom",NA,"Sg","Fem",NA,NA
"207","arme","ADJA.Pos.Nom.Sg.Fem","arm","ADJA","Pos",NA,"Nom",NA,"Sg","Fem",NA,NA
"208","Bruneschi","N.Reg.Nom.Sg.Fem","Bruneschi","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"209","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"211","Emilia","N.Name.Nom.Sg.Fem","Emilia","N","Name",NA,"Nom",NA,"Sg","Fem",NA,NA
"212","heißen","VINF.Full","heißen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"213","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"215","–","N.Name.Nom.Sg.*","–","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"216","weg","ADV","weg","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"217","ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,"3","Sg",NA,"Pres","Ind"
"218","meine","PRO.Poss.Attr.Nom.Sg.Fem","meine","PRO","Poss","Attr","Nom",NA,"Sg","Fem",NA,NA
"219","Ruhe","N.Reg.Nom.Sg.Fem","Ruhe","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"220","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"222","und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"223","alles","PRO.Indef.Subst.Acc.Sg.Neut","alle","PRO","Indef","Subst","Acc",NA,"Sg","Neut",NA,NA
"224","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"226","–","N.Name.Nom.Sg.*","–","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"227","Nach","APPR","nach","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"228","dem","ART.Def.Dat.Sg.Neut","die","ART","Def",NA,"Dat",NA,"Sg","Neut",NA,NA
"229","Marchese","N.Reg.Dat.Sg.Neut","Marchese","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"230","ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,"3","Sg",NA,"Pres","Ind"
"231","geschickt","VPP.Full.Psp","schicken","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"232","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"234","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"237","hier","ADV","hier","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"238","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"240","ein","ART.Indef.Nom.Sg.Masc","eine","ART","Indef",NA,"Nom",NA,"Sg","Masc",NA,NA
"241","Brief","N.Reg.Nom.Sg.Masc","Brief","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"242","von","APPR","von","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"243","der","ART.Def.Dat.Sg.Fem","die","ART","Def",NA,"Dat",NA,"Sg","Fem",NA,NA
"244","Gräfin","N.Reg.Dat.Sg.Fem","Gräfin","N","Reg",NA,"Dat",NA,"Sg","Fem",NA,NA
"245","Orsina","N.Name.Nom.Sg.Neut","Orsina","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"246","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"248","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Der","ART.Def.Nom.Sg.Masc","die","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"251","Orsina","N.Name.Nom.Sg.Masc","Orsina","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"252","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"254","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Legt","VFIN.Full.3.Sg.Pres.Ind","legen","VFIN","Full",NA,NA,"3","Sg",NA,"Pres","Ind"
"257","ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","sie","PRO","Pers","Subst","Acc","3","Sg","Masc",NA,NA
"258","hin","PART.Verb","hin","PART","Verb",NA,NA,NA,NA,NA,NA,NA
"259","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"261","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Ihr","PRO.Poss.Attr.Nom.Sg.Masc","ihre","PRO","Poss","Attr","Nom",NA,"Sg","Masc",NA,NA
"264","Läufer","N.Reg.Nom.Sg.Masc","Läufer","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"265","wartet","VFIN.Full.3.Sg.Pres.Ind","warten","VFIN","Full",NA,NA,"3","Sg",NA,"Pres","Ind"
"266","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"268","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom","1","Sg",NA,NA,NA
"271","will","VFIN.Mod.1.Sg.Pres.Ind","wollen","VFIN","Mod",NA,NA,"1","Sg",NA,"Pres","Ind"
"272","die","ART.Def.Acc.Sg.Fem","die","ART","Def",NA,"Acc",NA,"Sg","Fem",NA,NA
"273","Antwort","N.Reg.Acc.Sg.Fem","Antwort","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"274","senden","VINF.Full","senden","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"275","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
