"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"3618","Söhne","N.Reg.Nom.Pl.Masc","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"3619","würden","VFIN.Aux.3.Pl.Past.Subj","VFIN","Aux",NA,NA,"3","Pl",NA,"Past","Subj"
"3620","die","ART.Def.Acc.Sg.Fem","ART","Def",NA,"Acc",NA,"Sg","Fem",NA,NA
"3621","Mittels","APPR.Dat","APPR",NA,NA,"Dat",NA,NA,NA,NA,NA
"3622","-","SYM.Pun.Hyph","SYM","Pun","Hyph",NA,NA,NA,NA,NA,NA
"3623","Personen","N.Reg.Dat.Pl.Fem","N","Reg",NA,"Dat",NA,"Pl","Fem",NA,NA
"3624","zwischen","APPR.Zwischen","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"3625","ihren","PRO.Poss.Attr.-.Dat.Pl.Masc","PRO","Poss","Attr","Dat",NA,"Pl","Masc",NA,NA
"3626","Vätern","N.Reg.Dat.Pl.Masc","N","Reg",NA,"Dat",NA,"Pl","Masc",NA,NA
"3627","werden","VINF.Aux.-","VINF","Aux",NA,NA,NA,NA,NA,NA,NA
"3628",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3629","Er","PRO.Pers.Subst.3.Nom.Sg.Masc","PRO","Pers","Subst","Nom","3","Sg","Masc",NA,NA
"3630","wollte","VFIN.Mod.3.Sg.Past.Ind","VFIN","Mod",NA,NA,"3","Sg",NA,"Past","Ind"
"3631","ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","PRO","Pers","Subst","Acc","3","Sg","Masc",NA,NA
"3632","in","APPR.In","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"3633","sein","PRO.Poss.Attr.-.Acc.Sg.Neut","PRO","Poss","Attr","Acc",NA,"Sg","Neut",NA,NA
"3634","Gezelt","N.Reg.Acc.Sg.Neut","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"3635","führen","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
